Amount,hour,day_of_week,is_night,card_txn_count_so_far,card_avg_amount_so_far,amount_vs_card_avg,true_label,proba,risk_tier
132.25,19,0,0,0,132.25,1.0,0,0.20091134,low_risk_log_only
138.0,11,5,0,0,138.0,1.0,0,0.26329875,low_risk_log_only
62.1,10,5,0,0,62.1,1.0,0,0.03777034,low_risk_log_only
88.0,16,2,0,0,88.0,1.0,1,0.07779117,low_risk_log_only
154.0,19,3,0,0,154.0,1.0,0,0.0710791,low_risk_log_only
5.0,10,1,0,0,5.0,1.0,0,0.0039362824,low_risk_log_only
16.5,18,5,0,1,33.0,0.5,0,0.0031277987,low_risk_log_only
88.0,13,4,0,0,88.0,1.0,0,0.048683934,low_risk_log_only
91.35,13,2,0,0,91.35,1.0,0,0.023699166,low_risk_log_only
117.6,23,4,1,0,117.6,1.0,0,0.56157285,medium_risk_human_review
69.0,19,5,0,0,69.0,1.0,0,0.07712145,low_risk_log_only
672.0,10,4,0,0,672.0,1.0,0,0.6755662,medium_risk_human_review
154.0,6,4,0,0,154.0,1.0,0,0.21469529,low_risk_log_only
187.0,0,5,1,0,187.0,1.0,0,0.54165304,medium_risk_human_review
172.5,14,4,0,1,57.5,3.0,1,0.7356492,high_risk_auto_flag
34.5,20,5,0,1,103.5,0.3333333333333333,0,0.06629568,low_risk_log_only
49.5,13,2,0,1,33.0,1.5,0,0.36439034,low_risk_log_only
297.0,20,6,0,1,286.0,1.0384615384615385,0,0.5469676,medium_risk_human_review
34.5,8,0,0,0,34.5,1.0,0,0.070113145,low_risk_log_only
69.0,19,3,0,0,69.0,1.0,0,0.19271307,low_risk_log_only
156.8,22,1,0,0,156.8,1.0,0,0.04983251,low_risk_log_only
103.5,15,2,0,0,103.5,1.0,0,0.19178239,low_risk_log_only
69.0,20,1,0,0,69.0,1.0,0,0.17405652,low_risk_log_only
98.7,14,3,0,0,98.7,1.0,0,0.122603446,low_risk_log_only
220.0,16,0,0,7,117.85714285714286,1.8666666666666667,1,0.9985613,high_risk_auto_flag
154.0,15,2,0,0,154.0,1.0,0,0.04043079,low_risk_log_only
70.0,19,5,0,0,70.0,1.0,0,0.07076964,low_risk_log_only
275.0,0,1,1,0,275.0,1.0,0,0.35334718,low_risk_log_only
77.0,15,2,0,0,77.0,1.0,0,0.26029074,low_risk_log_only
55.0,12,3,0,0,55.0,1.0,0,0.49656302,medium_risk_human_review
672.0,10,4,0,0,672.0,1.0,1,0.6755662,medium_risk_human_review
308.0,21,1,0,0,308.0,1.0,0,0.114937305,low_risk_log_only
56.65,16,4,0,0,56.65,1.0,0,0.41247946,low_risk_log_only
110.0,12,5,0,4,46.0,2.391304347826087,0,0.94283485,high_risk_auto_flag
143.0,14,6,0,0,143.0,1.0,0,0.011603567,low_risk_log_only
112.0,23,1,1,2,112.0,1.0,0,0.9389341,high_risk_auto_flag
111.65,23,4,1,0,111.65,1.0,0,0.6122532,medium_risk_human_review
110.0,20,2,0,0,110.0,1.0,0,0.29055926,low_risk_log_only
245.0,8,3,0,0,245.0,1.0,0,0.030963128,low_risk_log_only
33.0,14,0,0,0,33.0,1.0,0,0.15655129,low_risk_log_only
89.6,13,6,0,0,89.6,1.0,0,0.007777452,low_risk_log_only
33.0,13,2,0,0,33.0,1.0,0,0.09686728,low_risk_log_only
46.0,19,3,0,0,46.0,1.0,0,0.21470033,low_risk_log_only
49.5,19,0,0,0,49.5,1.0,0,0.15887742,low_risk_log_only
48.0,14,5,0,0,48.0,1.0,0,0.051271807,low_risk_log_only
66.0,7,5,0,0,66.0,1.0,0,0.021332193,low_risk_log_only
291.2,20,5,0,0,291.2,1.0,0,0.3929814,low_risk_log_only
134.4,21,2,0,0,134.4,1.0,0,0.18470976,low_risk_log_only
10.0,23,4,1,0,10.0,1.0,0,0.00069117686,low_risk_log_only
122.53,0,0,1,0,122.53,1.0,0,0.29115185,low_risk_log_only
67.2,10,0,0,0,67.2,1.0,0,0.036562286,low_risk_log_only
55.0,23,1,1,0,55.0,1.0,0,0.22198606,low_risk_log_only
46.0,21,3,0,0,46.0,1.0,0,0.21470033,low_risk_log_only
145.6,14,3,0,0,145.6,1.0,0,0.09134881,low_risk_log_only
132.0,21,0,0,0,132.0,1.0,0,0.20091134,low_risk_log_only
69.0,11,6,0,0,69.0,1.0,0,0.017636424,low_risk_log_only
99.0,23,2,1,0,99.0,1.0,0,0.11087672,low_risk_log_only
143.0,17,0,0,0,143.0,1.0,0,0.07893135,low_risk_log_only
276.0,14,1,0,0,276.0,1.0,0,0.08933268,low_risk_log_only
145.6,0,3,1,0,145.6,1.0,0,0.37921894,low_risk_log_only
134.4,16,0,0,10,106.96,1.2565445026178013,1,0.9979634,high_risk_auto_flag
184.0,22,1,0,0,184.0,1.0,0,0.24612285,low_risk_log_only
46.0,13,3,0,0,46.0,1.0,0,0.52864385,medium_risk_human_review
36.0,11,2,0,0,36.0,1.0,0,0.20360829,low_risk_log_only
121.0,13,4,0,2,154.0,0.7857142857142857,0,0.26124594,low_risk_log_only
132.0,20,4,0,2,82.5,1.6,1,0.5284614,medium_risk_human_review
88.0,19,2,0,1,148.5,0.5925925925925926,0,0.09216115,low_risk_log_only
100.8,17,4,0,0,100.8,1.0,0,0.19153334,low_risk_log_only
100.0,14,0,0,0,100.0,1.0,0,0.08487313,low_risk_log_only
176.0,19,4,0,0,176.0,1.0,0,0.30439475,low_risk_log_only
308.0,10,4,0,0,308.0,1.0,0,0.09035988,low_risk_log_only
132.0,19,1,0,0,132.0,1.0,0,0.20345087,low_risk_log_only
145.6,18,4,0,1,145.6,1.0,1,0.3833274,low_risk_log_only
112.86,8,0,0,0,112.86,1.0,0,0.06960325,low_risk_log_only
70.0,11,4,0,0,70.0,1.0,0,0.20396475,low_risk_log_only
104.5,10,3,0,1,154.0,0.6785714285714286,0,0.08833185,low_risk_log_only
156.8,19,6,0,0,156.8,1.0,0,0.014937814,low_risk_log_only
291.2,0,4,1,0,291.2,1.0,0,0.35558215,low_risk_log_only
63.25,17,2,0,0,63.25,1.0,0,0.48392314,medium_risk_human_review
246.6,19,1,0,0,246.6,1.0,0,0.17886823,low_risk_log_only
56.0,0,3,1,0,56.0,1.0,0,0.5991775,medium_risk_human_review
46.0,14,5,0,0,46.0,1.0,0,0.1649843,low_risk_log_only
92.0,11,3,0,0,92.0,1.0,0,0.12267291,low_risk_log_only
30.0,15,5,0,1,20.0,1.5,0,0.020234002,low_risk_log_only
132.0,15,4,0,1,132.0,1.0,1,0.55971074,medium_risk_human_review
154.0,18,4,0,0,154.0,1.0,0,0.106324375,low_risk_log_only
67.2,10,3,0,0,67.2,1.0,0,0.06653247,low_risk_log_only
99.0,22,2,0,0,99.0,1.0,0,0.20508407,low_risk_log_only
5.0,14,3,0,0,5.0,1.0,0,0.001589994,low_risk_log_only
77.0,22,3,0,1,462.0,0.16666666666666666,0,0.35446277,low_risk_log_only
402.5,19,0,0,0,402.5,1.0,0,0.31215656,low_risk_log_only
25.0,21,1,0,0,25.0,1.0,0,0.23044811,low_risk_log_only
57.5,15,3,0,0,57.5,1.0,1,0.65765697,medium_risk_human_review
23.0,23,4,1,0,23.0,1.0,0,0.002239132,low_risk_log_only
220.0,20,2,0,0,220.0,1.0,0,0.29446372,low_risk_log_only
313.6,19,2,0,0,313.6,1.0,0,0.12734722,low_risk_log_only
154.0,18,3,0,0,154.0,1.0,0,0.0710791,low_risk_log_only
286.0,11,4,0,0,286.0,1.0,0,0.20282651,low_risk_log_only
46.0,16,3,0,0,46.0,1.0,0,0.60069776,medium_risk_human_review
161.0,15,2,0,0,161.0,1.0,0,0.044416502,low_risk_log_only
172.5,17,3,0,10,271.09499999999997,0.6363083052066619,1,0.994769,high_risk_auto_flag
123.3,21,3,0,0,123.3,1.0,0,0.23144096,low_risk_log_only
49.5,4,1,1,0,49.5,1.0,0,0.2184374,low_risk_log_only
286.0,18,0,0,0,286.0,1.0,0,0.11061976,low_risk_log_only
15.0,10,4,0,0,15.0,1.0,0,0.0015349056,low_risk_log_only
200.0,20,5,0,2,192.0,1.0416666666666667,0,0.9165814,high_risk_auto_flag
154.0,21,1,0,0,154.0,1.0,0,0.04755904,low_risk_log_only
110.0,0,2,1,0,110.0,1.0,0,0.15077195,low_risk_log_only
99.0,10,3,0,1,148.5,0.6666666666666666,0,0.0599596,low_risk_log_only
100.8,13,3,0,0,100.8,1.0,0,0.13462876,low_risk_log_only
156.8,19,3,0,1,69.0,2.272463768115942,0,0.51046026,medium_risk_human_review
46.0,14,3,0,2,46.0,1.0,1,0.9645675,high_risk_auto_flag
179.2,11,4,0,0,179.2,1.0,0,0.3838933,low_risk_log_only
20.0,14,5,0,0,20.0,1.0,0,0.0007154874,low_risk_log_only
64.19,8,1,0,0,64.19,1.0,0,0.030175678,low_risk_log_only
48.0,23,2,1,0,48.0,1.0,0,0.0784396,low_risk_log_only
572.0,9,2,0,0,572.0,1.0,0,0.15993081,low_risk_log_only
33.0,1,5,1,0,33.0,1.0,0,0.026671385,low_risk_log_only
103.5,20,5,0,0,103.5,1.0,0,0.21423008,low_risk_log_only
60.0,22,3,0,0,60.0,1.0,0,0.47730377,medium_risk_human_review
60.89,22,4,0,0,60.89,1.0,0,0.46060953,medium_risk_human_review
156.8,18,2,0,0,156.8,1.0,0,0.04983251,low_risk_log_only
26.5,11,5,0,0,26.5,1.0,0,0.017309444,low_risk_log_only
176.0,21,3,0,0,176.0,1.0,0,0.30439475,low_risk_log_only
34.5,7,3,0,1,31.05,1.1111111111111112,0,0.052739322,low_risk_log_only
112.0,0,0,1,1,220.0,0.509090909090909,0,0.4853396,medium_risk_human_review
104.5,10,0,0,0,104.5,1.0,0,0.122009516,low_risk_log_only
89.6,22,0,0,0,89.6,1.0,0,0.07015829,low_risk_log_only
44.8,18,1,0,0,44.8,1.0,0,0.09291276,low_risk_log_only
110.0,15,0,0,1,55.0,2.0,0,0.6527174,medium_risk_human_review
132.0,9,2,0,1,132.0,1.0,0,0.25900805,low_risk_log_only
78.4,13,0,0,0,78.4,1.0,0,0.05791213,low_risk_log_only
43.0,10,5,0,0,43.0,1.0,0,0.026865484,low_risk_log_only
46.0,0,4,1,0,46.0,1.0,0,0.5856996,medium_risk_human_review
66.0,16,4,0,0,66.0,1.0,0,0.56768274,medium_risk_human_review
143.0,9,0,0,0,143.0,1.0,0,0.021939263,low_risk_log_only
179.2,13,4,0,0,179.2,1.0,0,0.2314746,low_risk_log_only
462.0,1,3,1,0,462.0,1.0,0,0.84164226,high_risk_auto_flag
103.5,21,4,0,0,103.5,1.0,0,0.18499698,low_risk_log_only
110.0,19,3,0,0,110.0,1.0,0,0.31691194,low_risk_log_only
99.0,9,2,0,0,99.0,1.0,0,0.047535155,low_risk_log_only
154.0,22,3,0,1,120.75,1.2753623188405796,0,0.41024983,low_risk_log_only
104.5,20,4,0,0,104.5,1.0,0,0.18499698,low_risk_log_only
55.0,10,2,0,1,55.0,1.0,0,0.5208199,medium_risk_human_review
330.0,18,4,0,0,330.0,1.0,0,0.6782657,medium_risk_human_review
92.0,19,1,0,0,92.0,1.0,0,0.0756716,low_risk_log_only
112.0,10,5,0,0,112.0,1.0,0,0.38525328,low_risk_log_only
660.0,22,0,0,0,660.0,1.0,1,0.06779697,low_risk_log_only
100.0,17,4,0,0,100.0,1.0,0,0.19153334,low_risk_log_only
216.0,22,2,0,0,216.0,1.0,0,0.43381757,low_risk_log_only
148.5,20,6,0,0,148.5,1.0,0,0.013638394,low_risk_log_only
103.5,10,2,0,0,103.5,1.0,0,0.04943432,low_risk_log_only
89.6,11,0,0,0,89.6,1.0,0,0.04146832,low_risk_log_only
242.0,16,4,0,1,121.0,2.0,0,0.550593,medium_risk_human_review
330.0,21,4,0,0,330.0,1.0,0,0.6782657,medium_risk_human_review
80.5,15,0,0,0,80.5,1.0,0,0.08929939,low_risk_log_only
184.0,20,6,0,0,184.0,1.0,0,0.037179623,low_risk_log_only
89.6,10,3,0,0,89.6,1.0,0,0.034401365,low_risk_log_only
176.0,19,0,0,0,176.0,1.0,0,0.16474296,low_risk_log_only
154.0,10,3,0,0,154.0,1.0,0,0.07598661,low_risk_log_only
156.8,22,1,0,0,156.8,1.0,0,0.04983251,low_risk_log_only
418.0,14,5,0,1,418.0,1.0,1,0.9428982,high_risk_auto_flag
110.0,11,4,0,0,110.0,1.0,0,0.42589888,low_risk_log_only
112.0,15,0,0,1,89.6,1.25,0,0.1714984,low_risk_log_only
89.6,12,0,0,0,89.6,1.0,0,0.027993167,low_risk_log_only
115.0,8,4,0,0,115.0,1.0,0,0.1475785,low_risk_log_only
336.0,12,1,0,0,336.0,1.0,0,0.05898226,low_risk_log_only
88.0,18,4,0,1,88.0,1.0,0,0.25562245,low_risk_log_only
156.8,16,0,0,0,156.8,1.0,0,0.053081065,low_risk_log_only
138.0,12,3,0,0,138.0,1.0,0,0.1406052,low_risk_log_only
34.5,23,3,1,0,34.5,1.0,0,0.05739143,low_risk_log_only
88.0,20,3,0,0,88.0,1.0,0,0.073163785,low_risk_log_only
190.4,18,3,0,0,190.4,1.0,0,0.4179861,low_risk_log_only
201.25,18,0,0,0,201.25,1.0,0,0.27563342,low_risk_log_only
330.0,16,3,0,1,330.0,1.0,0,0.93950045,high_risk_auto_flag
69.0,13,2,0,0,69.0,1.0,0,0.05116942,low_risk_log_only
126.5,11,2,0,0,126.5,1.0,0,0.21845447,low_risk_log_only
36.66,18,4,0,0,36.66,1.0,0,0.2935064,low_risk_log_only
121.0,21,4,0,0,121.0,1.0,0,0.2360067,low_risk_log_only
99.0,12,4,0,0,99.0,1.0,0,0.15719481,low_risk_log_only
13.0,19,3,0,1,134.4,0.09672619047619047,0,0.010533767,low_risk_log_only
121.0,10,5,0,0,121.0,1.0,0,0.29433846,low_risk_log_only
179.2,22,2,0,1,156.8,1.1428571428571428,0,0.2509167,low_risk_log_only
110.0,14,4,0,0,110.0,1.0,0,0.25533983,low_risk_log_only
440.0,23,0,1,5,338.15,1.3011976933313618,1,0.9820197,high_risk_auto_flag
46.0,16,4,0,0,46.0,1.0,1,0.60069776,medium_risk_human_review
46.0,15,4,0,0,46.0,1.0,0,0.6280038,medium_risk_human_review
23.0,13,1,0,0,23.0,1.0,0,0.01094208,low_risk_log_only
116.72,12,5,0,0,116.72,1.0,0,0.32190192,low_risk_log_only
10.0,19,3,0,0,10.0,1.0,0,0.001002192,low_risk_log_only
20.0,13,3,0,0,20.0,1.0,0,0.0047525354,low_risk_log_only
80.0,20,6,0,0,80.0,1.0,0,0.023746295,low_risk_log_only
172.5,1,4,1,0,172.5,1.0,0,0.41342458,low_risk_log_only
132.25,19,0,0,0,132.25,1.0,0,0.20091134,low_risk_log_only
15.0,10,3,0,0,15.0,1.0,0,0.0015349056,low_risk_log_only
264.5,18,0,0,0,264.5,1.0,0,0.10619314,low_risk_log_only
115.0,22,3,0,0,115.0,1.0,0,0.33939907,low_risk_log_only
77.0,23,0,1,0,77.0,1.0,0,0.18675779,low_risk_log_only
15.0,3,6,1,0,15.0,1.0,0,0.00069268787,low_risk_log_only
172.5,18,3,0,11,262.1318181818182,0.6580658586068772,1,0.9950315,high_risk_auto_flag
154.0,12,2,0,0,154.0,1.0,0,0.015207105,low_risk_log_only
44.8,16,0,0,0,44.8,1.0,0,0.26595467,low_risk_log_only
78.4,14,0,0,0,78.4,1.0,0,0.07088559,low_risk_log_only
110.0,19,4,0,0,110.0,1.0,0,0.31691194,low_risk_log_only
132.0,18,4,0,1,66.0,2.0,0,0.68945366,medium_risk_human_review
324.5,12,2,0,0,324.5,1.0,0,0.088033706,low_risk_log_only
46.0,13,3,0,1,46.0,1.0,1,0.8512179,high_risk_auto_flag
112.0,12,0,0,0,112.0,1.0,0,0.11575414,low_risk_log_only
15.0,17,5,0,1,15.0,1.0,0,0.004802115,low_risk_log_only
23.0,18,3,0,0,23.0,1.0,0,0.0026222628,low_risk_log_only
88.0,23,3,1,1,88.0,1.0,0,0.2997527,low_risk_log_only
10.0,10,3,0,0,10.0,1.0,0,0.0015349056,low_risk_log_only
15.0,23,5,1,1,15.0,1.0,0,0.0010057372,low_risk_log_only
53.0,22,2,0,0,53.0,1.0,0,0.20980237,low_risk_log_only
46.0,21,2,0,0,46.0,1.0,0,0.184142,low_risk_log_only
268.8,12,3,0,0,268.8,1.0,0,0.1659729,low_risk_log_only
134.4,14,2,0,0,134.4,1.0,0,0.07714142,low_risk_log_only
336.0,22,6,0,0,336.0,1.0,0,0.027564498,low_risk_log_only
275.0,19,0,0,0,275.0,1.0,0,0.10619314,low_risk_log_only
34.5,0,3,1,0,34.5,1.0,0,0.14967258,low_risk_log_only
77.0,16,0,0,0,77.0,1.0,0,0.4777351,medium_risk_human_review
77.0,19,0,0,0,77.0,1.0,0,0.3837607,low_risk_log_only
80.5,11,3,0,0,80.5,1.0,0,0.13415314,low_risk_log_only
460.0,23,1,1,2,356.5,1.2903225806451613,1,0.95704144,high_risk_auto_flag
30.0,14,2,0,0,30.0,1.0,0,0.117479265,low_risk_log_only
34.5,16,2,0,0,34.5,1.0,0,0.39315027,low_risk_log_only
44.42,9,3,0,1,310.32,0.1431425625161124,0,0.16553462,low_risk_log_only
170.0,19,1,0,0,170.0,1.0,0,0.23987117,low_risk_log_only
45.2,20,0,0,3,74.8,0.6042780748663102,0,0.8542759,high_risk_auto_flag
55.0,18,4,0,1,55.0,1.0,0,0.67547894,medium_risk_human_review
13.5,10,2,0,0,13.5,1.0,0,0.0031495627,low_risk_log_only
630.0,10,0,0,0,630.0,1.0,0,0.03783727,low_risk_log_only
70.0,17,4,0,0,70.0,1.0,0,0.17148478,low_risk_log_only
104.5,16,4,0,0,104.5,1.0,0,0.1888245,low_risk_log_only
848.0,12,5,0,1,20.0,42.4,0,0.014612085,low_risk_log_only
132.0,19,0,0,0,132.0,1.0,0,0.20091134,low_risk_log_only
154.0,12,4,0,0,154.0,1.0,0,0.121591255,low_risk_log_only
115.0,16,4,0,0,115.0,1.0,0,0.35131982,low_risk_log_only
66.0,17,2,0,0,66.0,1.0,0,0.53524095,medium_risk_human_review
77.0,10,3,0,0,77.0,1.0,0,0.13354437,low_risk_log_only
112.0,23,6,1,0,112.0,1.0,0,0.74938285,high_risk_auto_flag
165.0,14,5,0,2,165.0,1.0,1,0.96286094,high_risk_auto_flag
291.2,17,4,0,0,291.2,1.0,0,0.39292628,low_risk_log_only
148.5,21,6,0,0,148.5,1.0,0,0.013638394,low_risk_log_only
78.4,20,5,0,0,78.4,1.0,0,0.073191516,low_risk_log_only
23.0,20,4,0,1,69.0,0.3333333333333333,0,0.035117514,low_risk_log_only
31.05,15,0,0,0,31.05,1.0,0,0.35537425,low_risk_log_only
78.4,18,0,0,0,78.4,1.0,0,0.1577579,low_risk_log_only
46.0,13,3,0,2,46.0,1.0,1,0.9639789,high_risk_auto_flag
198.0,12,1,0,0,198.0,1.0,0,0.22162017,low_risk_log_only
23.35,16,1,0,1,92.0,0.25380434782608696,0,0.05524589,low_risk_log_only
89.6,0,1,1,0,89.6,1.0,0,0.07392008,low_risk_log_only
224.0,8,0,0,0,224.0,1.0,0,0.019981155,low_risk_log_only
62.1,8,3,0,0,62.1,1.0,0,0.14418249,low_risk_log_only
145.6,21,6,0,0,145.6,1.0,0,0.014871542,low_risk_log_only
92.0,20,4,0,0,92.0,1.0,0,0.08486615,low_risk_log_only
28.75,22,6,0,1,57.5,0.5,0,0.0079170875,low_risk_log_only
100.8,19,3,0,0,100.8,1.0,0,0.2261557,low_risk_log_only
105.0,17,6,0,0,105.0,1.0,0,0.0283593,low_risk_log_only
55.0,0,4,1,0,55.0,1.0,0,0.7253543,high_risk_auto_flag
143.0,1,2,1,1,143.0,1.0,0,0.18942706,low_risk_log_only
145.6,23,1,1,0,145.6,1.0,0,0.13782404,low_risk_log_only
99.0,11,5,0,3,23.0,4.304347826086956,0,0.39596245,low_risk_log_only
104.5,10,3,0,0,104.5,1.0,0,0.21077296,low_risk_log_only
46.0,19,5,0,0,46.0,1.0,0,0.0450539,low_risk_log_only
308.0,15,3,0,0,308.0,1.0,0,0.16240619,low_risk_log_only
100.8,11,3,0,0,100.8,1.0,0,0.3123309,low_risk_log_only
154.0,23,2,1,0,154.0,1.0,0,0.09473539,low_risk_log_only
132.25,16,1,0,0,132.25,1.0,1,0.25319645,low_risk_log_only
123.3,1,3,1,0,123.3,1.0,1,0.4141017,low_risk_log_only
112.0,22,6,0,0,112.0,1.0,0,0.069914795,low_risk_log_only
46.0,18,4,0,1,47.37,0.9710787418197172,0,0.23832166,low_risk_log_only
48.0,12,2,0,0,48.0,1.0,0,0.11361335,low_risk_log_only
77.0,11,4,0,0,77.0,1.0,0,0.35378256,low_risk_log_only
154.0,11,0,0,0,154.0,1.0,0,0.02039015,low_risk_log_only
46.0,16,3,0,2,46.0,1.0,1,0.9668686,high_risk_auto_flag
55.0,14,6,0,0,55.0,1.0,0,0.01988832,low_risk_log_only
242.0,14,4,0,0,242.0,1.0,0,0.09651444,low_risk_log_only
352.0,14,5,0,0,352.0,1.0,0,0.32775253,low_risk_log_only
104.5,16,1,0,0,104.5,1.0,0,0.2249137,low_risk_log_only
88.0,0,4,1,1,121.0,0.7272727272727273,0,0.1580404,low_risk_log_only
99.0,14,5,0,1,99.0,1.0,0,0.51637554,medium_risk_human_review
308.0,15,4,0,0,308.0,1.0,0,0.16240619,low_risk_log_only
112.0,22,1,0,0,112.0,1.0,0,0.31610364,low_risk_log_only
99.0,19,4,0,0,99.0,1.0,0,0.1876636,low_risk_log_only
66.0,14,2,0,0,66.0,1.0,0,0.27171436,low_risk_log_only
30.53,23,6,1,0,30.53,1.0,0,0.04724586,low_risk_log_only
184.0,15,6,0,0,184.0,1.0,0,0.044060316,low_risk_log_only
134.4,22,1,0,1,56.0,2.4,0,0.6205744,medium_risk_human_review
88.0,17,4,0,0,88.0,1.0,0,0.08485553,low_risk_log_only
34.5,15,4,0,0,34.5,1.0,0,0.14183733,low_risk_log_only
165.0,10,1,0,0,165.0,1.0,0,0.0767094,low_risk_log_only
82.5,22,1,0,0,82.5,1.0,0,0.07861298,low_risk_log_only
253.0,19,1,0,0,253.0,1.0,0,0.26528803,low_risk_log_only
308.0,14,2,0,0,308.0,1.0,0,0.06969544,low_risk_log_only
40.0,12,3,0,0,40.0,1.0,0,0.21326655,low_risk_log_only
48.0,10,0,0,0,48.0,1.0,0,0.08671566,low_risk_log_only
88.0,10,3,0,1,134.4,0.6547619047619048,0,0.08798345,low_risk_log_only
35.0,17,1,0,0,35.0,1.0,0,0.4044638,low_risk_log_only
275.0,3,2,1,1,275.0,1.0,0,0.7431011,high_risk_auto_flag
172.5,13,4,0,0,172.5,1.0,0,0.25792864,low_risk_log_only
100.8,15,0,0,0,100.8,1.0,0,0.20563313,low_risk_log_only
5.0,16,5,0,1,10.0,0.5,0,0.0011543982,low_risk_log_only
46.0,22,4,0,0,46.0,1.0,0,0.27887267,low_risk_log_only
23.0,21,3,0,0,23.0,1.0,0,0.0026222628,low_risk_log_only
154.0,0,3,1,1,73.34,2.099809108262885,0,0.53167486,medium_risk_human_review
70.0,23,5,1,0,70.0,1.0,0,0.032695543,low_risk_log_only
154.0,16,4,0,0,154.0,1.0,0,0.09793571,low_risk_log_only
96.42,20,5,0,0,96.42,1.0,0,0.41137213,low_risk_log_only
46.69,18,6,0,0,46.69,1.0,0,0.0067748986,low_risk_log_only
153.0,6,2,0,6,51.419999999999995,2.975495915985998,1,0.99553216,high_risk_auto_flag
132.25,22,0,0,0,132.25,1.0,0,0.20091134,low_risk_log_only
165.0,11,5,0,0,165.0,1.0,0,0.41489378,low_risk_log_only
143.0,16,3,0,0,143.0,1.0,0,0.110633455,low_risk_log_only
46.0,15,4,0,0,46.0,1.0,0,0.6280038,medium_risk_human_review
34.5,21,4,0,0,34.5,1.0,0,0.12224219,low_risk_log_only
155.25,23,0,1,0,155.25,1.0,0,0.09906583,low_risk_log_only
69.0,20,1,0,0,69.0,1.0,0,0.17405652,low_risk_log_only
89.6,12,0,0,0,89.6,1.0,0,0.027993167,low_risk_log_only
143.0,13,6,0,0,143.0,1.0,0,0.009592159,low_risk_log_only
257.6,22,0,0,0,257.6,1.0,0,0.18334626,low_risk_log_only
31.05,12,3,0,1,31.05,1.0,0,0.39342982,low_risk_log_only
302.4,23,6,1,0,302.4,1.0,0,0.08568666,low_risk_log_only
78.96,19,0,0,0,78.96,1.0,0,0.1577579,low_risk_log_only
112.0,20,6,0,0,112.0,1.0,0,0.069914795,low_risk_log_only
280.0,19,3,0,1,145.6,1.9230769230769231,0,0.28550547,low_risk_log_only
258.5,14,0,0,0,258.5,1.0,0,0.08006541,low_risk_log_only
154.0,14,0,0,0,154.0,1.0,0,0.019885574,low_risk_log_only
99.0,18,4,0,0,99.0,1.0,0,0.1876636,low_risk_log_only
572.0,17,6,0,0,572.0,1.0,0,0.02983822,low_risk_log_only
27.0,11,4,0,0,27.0,1.0,0,0.10489824,low_risk_log_only
275.0,12,5,0,0,275.0,1.0,0,0.2573244,low_risk_log_only
168.0,16,5,0,0,168.0,1.0,0,0.6166357,medium_risk_human_review
